Year,Cause of death,unter 1 Jahr,1 bis unter 15 Jahre,15 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 70 Jahre,70 bis unter 75 Jahre,75 bis unter 80 Jahre,80 bis unter 85 Jahre,85 Jahre und mehr,Total
2005,Diabetes mellitus,0,5,4,13,12,29,63,146,250,384,587,992,1965,2797,3839,5351,7905,24342
2005,Mental and behavioral disorders,0,4,19,77,126,192,375,565,770,870,690,786,792,624,801,1336,3329,11356
2005,Mental and behavioral disorders durch Alkohol,0,0,1,7,26,66,230,433,682,788,618,693,632,359,227,111,60,4933
2005,Mental and behavioral disorders due to psychoactive substance use,0,0,13,60,95,121,133,119,68,50,31,14,17,18,8,4,4,755
2005,Diseases of the nervous system and sense organs,58,161,99,85,94,108,178,327,410,519,584,932,1534,1861,3115,3997,4503,18565
2005,Meningitis,7,10,2,1,2,4,0,11,8,8,7,19,29,20,24,37,13,202
2005,Diseases of the circulatory system,38,110,98,137,199,395,920,2079,3601,5524,7377,12939,24354,33194,53163,76584,146649,367361
2005,Hypertension (high blood pressure),1,5,2,1,6,11,31,64,127,228,358,656,1145,1840,3293,5957,13808,27533
2005,Ischemic heart diseases,0,0,10,27,30,115,296,854,1607,2681,3575,6413,11982,15439,23383,30372,51857,148641
2005,Acute or recurrent myocardial infarction,0,0,9,21,22,95,237,656,1240,1902,2466,4059,7084,8228,11308,12798,16054,66179
2005,Other forms of heart disease,27,72,44,54,77,115,242,468,780,1076,1409,2249,4086,5591,9367,15197,37253,78107
2005,Other diseases of the endocardium,1,8,8,6,7,18,18,38,67,81,127,246,557,857,1482,2046,2828,8395
2005,Cerebrovascular diseases,8,14,13,24,38,61,175,373,581,791,1020,1854,3863,5891,10102,15491,26818,67117
2005,"Stroke, not specified as hemorrhage or infarction",3,3,0,1,0,6,16,40,51,110,212,510,1246,2230,4273,7440,13951,30092
2005,"Diseases of arteries, arterioles, and capillaries",0,0,6,3,15,21,37,73,152,235,352,701,1339,1823,2963,4330,10127,22177
2005,Diseases of the respiratory system,29,70,31,45,40,66,112,243,426,728,1197,2403,4477,6192,9866,12218,19599,57742
2005,Influenza,0,3,1,0,1,0,1,5,3,5,6,15,23,17,28,53,140,301
2005,Pneumonia,15,30,14,19,18,25,45,88,159,187,277,549,1075,1686,3027,4595,9890,21699
2005,Chronic diseases of the lower respiratory tract,0,13,10,11,15,29,41,94,169,407,709,1442,2598,3485,5164,5416,6140,25743
2005,Asthma,0,9,7,7,11,21,23,38,45,76,88,118,223,265,311,345,384,1971
2005,"COVID-19, virus identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"COVID-19, virus not identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Diseases of the digestive system,14,33,10,27,59,155,535,1169,1913,2528,2510,3354,4488,4551,5549,6499,9393,42787
2005,"Ulcer of the stomach, duodenum, peptic, peptic jejuni",1,0,0,1,1,4,13,43,56,91,100,147,252,318,512,677,1155,3371
2005,Diseases of the liver,1,6,0,6,27,111,403,917,1506,1967,1846,2271,2622,1949,1502,995,677,16806
2005,"Alcoholic liver disease, chronic hepatitis, liver fibrosis, and cirrhosis",0,1,0,4,25,106,385,880,1459,1915,1798,2177,2473,1811,1360,857,534,15785
2005,Diseases of the skin and subcutaneous tissue,0,1,0,0,1,1,1,2,7,13,9,23,45,61,85,132,226,607
2005,Diseases of the musculoskeletal system and connective tissue,1,7,3,5,4,6,19,24,29,64,80,118,199,207,314,439,505,2024
2005,Chronic polyarthritis and arthrosis,0,0,0,0,0,0,2,3,7,13,12,21,47,54,85,117,150,511
2005,Diseases of the genitourinary system,3,8,5,4,5,9,34,56,82,140,203,392,887,1294,2277,3364,5525,14288
2005,Diseases of the kidney,3,6,3,2,4,9,27,49,69,113,175,326,718,1048,1757,2587,4224,11120
2005,"Pregnancy, childbirth, and the puerperium",0,0,0,5,5,4,9,4,1,0,0,0,0,0,0,0,0,28
2005,Certain conditions originating in the perinatal period,1264,18,2,5,9,5,5,3,7,5,2,3,3,3,3,2,2,1341
2005,"Congenital malformations, deformations, and chromosomal abnormalities",700,174,45,30,32,45,40,52,53,57,75,80,55,19,22,23,26,1528
2005,Congenital malformations of the nervous system,50,29,6,3,4,9,3,7,3,1,1,3,1,1,1,1,1,124
2005,Congenital malformations of the circulatory system,248,66,16,14,9,20,15,14,17,5,9,9,8,11,10,13,22,506
2005,Symptoms and abnormal clinical and laboratory findings,414,93,73,110,158,181,367,632,918,1057,1078,1425,1803,1592,1897,2268,6127,20193
2005,Sudden infant death syndrome,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298
2005,Other ill-defined and unknown causes of mortality,107,86,72,104,150,175,360,613,889,1027,1038,1360,1670,1436,1546,1440,1787,13860
2005,External causes of morbidity and mortality,71,412,950,1371,1094,1176,1628,2058,2128,2033,1671,1922,2330,2256,2849,3553,5522,33024
2005,Accidents including late effects,38,353,663,869,587,553,705,813,906,889,732,944,1258,1367,1990,2703,4623,19993
2005,Transport accidents,3,167,571,708,400,344,386,446,383,356,262,290,317,297,293,263,149,5635
2005,Falls,4,19,20,40,30,36,87,98,186,243,201,329,509,615,1062,1713,3356,8548
2005,Drowning and submersion,2,52,20,10,10,11,16,21,35,29,29,21,33,34,35,21,21,400
2005,"Exposure to smoke, fire, and flames",0,31,7,13,11,12,18,28,39,42,23,32,31,46,41,57,53,484
2005,Accidental poisoning: harmful substances (incl. exposure),0,7,11,51,84,83,94,92,82,55,33,18,31,14,20,21,17,713
2005,Intentional self-harm,0,26,214,382,402,499,749,1020,989,953,790,813,876,723,695,614,515,10260
2005,Assault,21,22,21,32,31,36,51,50,46,34,21,20,23,13,11,14,7,453
2005,"Event of undetermined intent",12,10,51,87,74,85,122,168,180,150,120,130,161,145,143,215,371,2224
2005,Insgesamt,2696,1532,1521,2146,2215,2996,5847,10954,16780,23913,29662,47535,76179,88408,122742,151757,243344,830227
2006,Certain infectious and parasitic diseases,18,64,28,26,31,75,151,247,312,361,462,563,1083,1435,2123,2320,3055,12354
2006,Tuberculosis and its sequelae,0,0,1,1,4,4,6,12,23,22,19,25,40,42,72,87,75,433
2006,Meningococcal infection,8,18,6,2,0,1,1,4,2,1,0,1,2,4,3,1,2,56
2006,Viral hepatitis,0,0,0,0,3,9,24,53,61,80,69,53,106,146,184,161,109,1058
2006,HIV disease,0,2,2,3,11,35,65,96,82,59,55,44,26,12,6,4,2,504
2006,Neoplasms,22,262,147,184,276,495,1290,2878,5583,9376,13838,19099,31877,32707,35951,32397,30713,217095
2006,Malignant neoplasms,18,256,140,179,272,488,1273,2851,5530,9296,13699,18882,31358,32073,34970,31219,29019,211523
2006,"Neoplasms of the lip, oral cavity, and pharynx",0,1,0,2,1,5,25,125,326,555,703,726,796,525,394,274,276,4734
2006,Neoplasms of the esophagus,1,0,0,2,1,6,18,86,187,344,521,626,897,675,592,435,325,4716
2006,Neoplasms of the stomach,0,0,0,6,15,29,81,172,287,443,591,792,1375,1595,1779,1810,1948,10923
2006,Neoplasms of the colon,0,0,2,4,13,19,60,115,259,455,817,1238,2249,2673,3349,3418,3804,18475
2006,"Neoplasms of the rectum, anus, and rectosigmoid junction",0,1,1,1,6,15,35,77,148,290,553,763,1293,1238,1370,1257,1277,8325
2006,"Neoplasms of the liver, biliary tract, and pancreas",1,7,4,9,10,25,79,199,444,914,1433,2083,3873,3977,4193,3724,3183,24158
2006,Neoplasms of the liver and intrahepatic bile ducts,1,5,3,7,5,9,22,53,124,284,411,576,1164,1224,1142,957,693,6680
2006,Neoplasms of the pancreas,0,2,1,1,3,13,46,117,271,531,871,1310,2212,2209,2381,2135,1839,13942
2006,"Neoplasms of the larynx, trachea, bronchi, and lung",1,1,0,2,10,30,125,478,1309,2467,3835,5131,7645,7179,6982,4500,2653,42348
2006,Neoplasms of the bronchi and lung,1,1,0,2,10,30,121,463,1235,2317,3661,4903,7355,6955,6777,4344,2569,40744
2006,Melanoma and other malignant neoplasms of the skin,0,0,2,4,12,18,53,111,126,134,202,236,371,382,383,356,490,2880
2006,Malignant melanoma of the skin,0,0,2,4,12,16,51,103,118,119,182,205,328,312,299,261,275,2287
2006,Neoplasms of the breast,0,0,0,0,13,62,233,463,732,1161,1365,1666,2437,2140,2220,2410,2651,17553
2006,Neoplasms of the genital and urinary organs,1,8,6,11,26,63,147,341,596,976,1411,2298,4613,5324,6407,6347,6207,34782
2006,Neoplasms of the cervix uteri,0,0,0,1,3,24,56,100,140,129,128,123,138,163,159,174,154,1492
2006,"Neoplasms of the corpus uteri and uterus, part unspecified",0,0,0,0,0,2,7,19,37,77,131,143,361,326,356,448,488,2395
2006,Neoplasms of the ovary,0,1,4,3,6,11,30,95,170,250,331,523,887,848,880,904,693,5636
2006,Neoplasms of the prostate,0,0,1,0,0,0,4,12,25,115,258,563,1431,1924,2494,2348,2402,11577
2006,"Neoplasms of the kidney, except renal pelvis",1,6,1,1,2,3,18,47,97,196,267,436,755,819,864,721,625,4859
2006,Neoplasms of the urinary bladder,0,0,0,0,1,4,6,25,47,117,159,285,599,748,1044,1159,1248,5442
2006,"Neoplasms of lymphoid, hematopoietic, and related tissue",6,77,50,60,63,78,145,200,328,447,715,1218,2251,2674,3213,2808,2247,16580
2006,Leukemia,6,65,43,41,39,47,81,87,137,178,268,510,899,1109,1335,1202,1060,7107
2006,Benign neoplasms,1,1,0,1,0,4,2,4,12,15,13,34,52,59,71,70,89,428
2006,Diseases of the blood and blood-forming organs,10,15,3,6,8,6,16,16,33,42,56,89,172,222,306,412,632,2044
2006,"Endocrine, nutritional, and metabolic diseases",34,69,24,23,45,56,115,261,376,526,797,989,2057,2966,4050,5329,8907,26624
2006,Diabetes mellitus,1,3,6,7,12,27,62,159,222,348,574,758,1705,2570,3541,4693,7620,22308
2006,Mental and behavioral disorders,1,3,8,84,110,157,293,532,747,796,705,718,832,803,1081,2008,5267,14145
2006,Mental and behavioral disorders durch Alkohol,0,0,0,8,22,61,160,395,631,707,642,602,616,381,206,99,73,4603
2006,Mental and behavioral disorders due to psychoactive substance use,0,0,6,67,81,88,118,115,78,47,17,18,19,13,8,3,1,679
2006,Diseases of the nervous system and sense organs,64,138,106,100,81,110,195,349,448,525,636,886,1604,1990,3221,3982,4976,19411
2006,Meningitis,15,6,3,3,2,2,5,6,3,8,9,12,21,19,27,17,20,178
2006,Diseases of the circulatory system,28,85,105,165,209,342,882,2068,3627,5451,7437,11189,23187,32471,51480,73703,146524,358953
2006,Hypertension (high blood pressure),1,2,2,4,1,7,35,84,144,222,367,543,1088,1884,3265,5868,14986,28503
2006,Ischemic heart diseases,0,0,13,25,39,90,297,892,1666,2694,3763,5533,11301,15147,22384,28861,51484,144189
2006,Acute or recurrent myocardial infarction,0,0,7,16,33,72,248,712,1295,1956,2570,3483,6616,8230,10803,12322,16433,64796
2006,Other forms of heart disease,23,48,47,70,68,108,220,449,758,1020,1259,1847,3813,5410,9187,15031,37731,77089
2006,Other diseases of the endocardium,1,6,7,7,10,12,29,30,62,76,143,240,499,884,1541,2173,3162,8882
2006,Cerebrovascular diseases,3,21,17,26,37,59,167,339,580,799,1049,1667,3741,5738,9839,14811,26240,65133
2006,"Stroke, not specified as hemorrhage or infarction",0,1,0,2,2,5,7,21,62,125,224,448,1172,2176,4102,6898,13321,28566
2006,"Diseases of arteries, arterioles, and capillaries",0,2,4,6,11,17,33,76,126,230,351,664,1393,1726,2741,3966,9053,20399
2006,Diseases of the respiratory system,20,43,26,28,35,67,128,227,391,747,1217,2095,4099,6050,9407,11451,18857,54888
2006,Influenza,0,1,0,1,0,0,0,0,2,0,3,3,2,3,6,15,30,66
2006,Pneumonia,13,16,13,8,14,26,55,86,126,219,278,479,931,1561,2814,4274,9455,20368
2006,Chronic diseases of the lower respiratory tract,1,7,7,10,8,26,39,91,189,398,726,1278,2453,3477,4942,5260,6043,24955
2006,Asthma,0,3,3,6,5,16,25,30,45,66,101,95,179,219,250,298,344,1685
2006,"COVID-19, virus identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"COVID-19, virus not identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Diseases of the digestive system,10,16,11,21,48,128,442,1169,1828,2357,2618,2971,4503,4520,5522,6645,10164,42973
2006,"Ulcer of the stomach, duodenum, peptic, peptic jejuni",1,0,0,3,0,2,14,29,61,76,101,135,263,312,478,711,1199,3385
2006,Diseases of the liver,1,1,3,5,23,89,332,921,1434,1815,1907,1978,2632,1967,1437,1005,751,16301
2006,"Alcoholic liver disease, chronic hepatitis, liver fibrosis, and cirrhosis",0,0,0,3,20,87,318,894,1388,1758,1835,1881,2499,1848,1293,847,590,15261
2006,Diseases of the skin and subcutaneous tissue,1,0,0,0,0,2,3,7,9,12,13,18,52,73,107,143,237,677
2006,Diseases of the musculoskeletal system and connective tissue,1,5,5,3,3,9,13,23,37,71,81,111,224,263,399,438,596,2282
2006,Chronic polyarthritis and arthrosis,1,1,1,0,0,1,1,2,9,12,19,21,73,67,104,137,181,630
2006,Diseases of the genitourinary system,3,4,1,6,8,12,23,58,87,136,200,362,874,1366,2413,3485,6049,15087
2006,Diseases of the kidney,3,3,1,5,3,11,19,46,66,110,165,295,713,1088,1851,2707,4622,11708
2006,"Pregnancy, childbirth, and the puerperium",0,0,0,3,9,13,14,1,1,0,0,0,0,0,0,0,0,41
2006,Certain conditions originating in the perinatal period,1333,17,5,8,5,4,0,6,3,2,0,2,1,0,3,1,0,1390
2006,"Congenital malformations, deformations, and chromosomal abnormalities",637,158,52,44,48,35,36,45,49,46,76,70,62,26,21,35,33,1473
2006,Congenital malformations of the nervous system,54,40,12,8,7,5,4,6,3,4,3,1,2,0,1,1,1,152
2006,Congenital malformations of the circulatory system,240,41,16,19,22,10,15,12,15,8,9,3,11,16,10,21,21,489
2006,Symptoms and abnormal clinical and laboratory findings,319,78,60,110,111,168,366,677,912,1151,1194,1262,1844,1673,1915,2177,5961,19978
2006,Sudden infant death syndrome,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259
2006,Other ill-defined and unknown causes of mortality,56,72,58,107,108,166,352,660,888,1113,1149,1209,1718,1504,1586,1434,1801,13981
2006,External causes of morbidity and mortality,78,355,917,1209,1076,980,1510,1960,2092,1992,1745,1711,2393,2282,2839,3481,5592,32212
2006,Accidents including late effects,49,287,642,757,563,479,657,822,903,862,828,826,1259,1357,1958,2624,4591,19464
2006,Transport accidents,6,136,566,623,403,288,359,426,383,358,283,232,310,276,289,246,175,5359
2006,Falls,5,20,19,29,29,39,59,106,172,201,240,304,498,626,1055,1698,3281,8381
2006,Drowning and submersion,3,53,7,15,8,10,26,21,36,39,30,28,43,37,25,19,18,418
2006,"Exposure to smoke, fire, and flames",2,9,3,8,8,12,22,27,37,34,26,26,30,34,51,44,33,406
2006,Accidental poisoning: harmful substances (incl. exposure),1,4,15,42,83,86,87,98,72,56,37,18,18,7,20,21,25,690
2006,Intentional self-harm,0,29,202,364,398,385,682,916,956,924,751,724,914,749,669,586,516,9765
2006,Assault,22,24,16,32,29,33,47,60,51,32,27,24,22,18,18,12,17,484
2006,"Event of undetermined intent",7,14,56,55,81,81,118,156,176,164,131,132,181,147,181,254,458,2392
2006,Insgesamt,2579,1312,1498,2020,2103,2659,5477,10524,16535,23591,31075,42135,74864,88847,120838,148007,247563,821627
2007,Certain infectious and parasitic diseases,22,51,21,30,36,57,121,227,307,389,491,612,1191,1633,2259,2712,3731,13890
2007,Tuberculosis and its sequelae,0,1,1,0,2,1,3,13,9,17,16,24,35,52,81,103,88,446
2007,Meningococcal infection,6,10,6,5,0,0,1,1,1,4,1,0,0,4,2,3,7,51
2007,Viral hepatitis,0,1,0,0,3,7,20,39,57,79,61,56,99,112,164,158,94,950
2007,HIV disease,1,0,0,2,13,26,46,96,77,51,54,32,30,17,8,6,2,461
2007,Neoplasms,31,266,146,216,283,507,1169,2933,5660,9360,13888,17889,31623,33233,35509,32377,32199,217289
2007,Malignant neoplasms,22,254,138,211,272,494,1148,2888,5597,9264,13725,17684,31180,32662,34569,31205,30452,211765
2007,"Neoplasms of the lip, oral cavity, and pharynx",0,1,3,3,2,6,32,119,346,594,703,653,855,556,377,265,262,4777
2007,Neoplasms of the esophagus,0,0,0,0,1,6,13,58,193,326,531,644,900,740,606,461,366,4845
2007,Neoplasms of the stomach,0,0,2,7,15,30,75,172,272,410,610,707,1294,1554,1767,1690,1882,10487
2007,Neoplasms of the colon,1,1,2,7,10,19,58,135,249,472,765,1123,2155,2684,3121,3366,3904,18072
2007,"Neoplasms of the rectum, anus, and rectosigmoid junction",1,0,0,1,5,15,29,93,157,288,461,666,1186,1293,1290,1167,1325,7977
2007,"Neoplasms of the liver, biliary tract, and pancreas",1,8,3,3,19,24,53,211,466,886,1477,2031,3916,4151,4247,3784,3445,24725
2007,Neoplasms of the liver and intrahepatic bile ducts,0,6,2,2,14,8,15,63,129,278,430,566,1158,1228,1215,930,783,6827
2007,Neoplasms of the pancreas,1,2,1,1,3,12,37,125,294,509,911,1259,2292,2378,2400,2205,2015,14445
2007,"Neoplasms of the larynx, trachea, bronchi, and lung",1,5,5,11,16,25,122,458,1311,2454,3750,4814,7922,7311,7101,4823,2876,43005
2007,Neoplasms of the bronchi and lung,1,5,5,10,16,25,118,432,1235,2343,3558,4619,7640,7081,6924,4695,2788,41495
2007,Melanoma and other malignant neoplasms of the skin,0,2,2,7,12,31,54,113,121,177,197,232,381,382,379,351,533,2974
2007,Malignant melanoma of the skin,0,1,2,7,12,31,51,108,116,162,182,214,337,329,311,273,331,2467
2007,Neoplasms of the breast,1,1,1,1,14,55,199,454,743,1003,1365,1542,2276,2226,2148,2266,2734,17029
2007,Neoplasms of the genital and urinary organs,2,10,5,22,25,47,148,341,598,1013,1513,2064,4490,5438,6370,6397,6522,35005
2007,Neoplasms of the cervix uteri,0,0,0,1,3,18,63,95,146,170,143,124,170,146,167,148,172,1566
2007,"Neoplasms of the corpus uteri and uterus, part unspecified",0,0,0,1,0,1,12,21,43,80,129,148,323,353,399,418,515,2443
2007,Neoplasms of the ovary,0,0,0,3,6,9,30,92,166,268,367,437,876,867,874,843,726,5564
2007,Neoplasms of the prostate,1,1,0,0,0,0,0,9,26,79,290,557,1412,1904,2411,2366,2392,11448
2007,"Neoplasms of the kidney, except renal pelvis",1,8,2,5,7,5,11,50,89,170,280,344,749,858,898,808,634,4919
2007,Neoplasms of the urinary bladder,0,1,0,1,1,2,5,22,51,121,167,255,583,763,997,1187,1448,5604
2007,"Neoplasms of lymphoid, hematopoietic, and related tissue",5,69,39,63,67,85,121,238,332,524,737,1081,2232,2608,3086,2845,2422,16554
2007,Leukemia,5,58,28,39,48,46,69,119,153,207,282,422,900,1038,1296,1163,1089,6962
2007,Benign neoplasms,0,3,2,1,0,2,5,13,9,12,29,25,41,39,59,77,96,413
2007,Diseases of the blood and blood-forming organs,13,13,8,6,16,7,14,27,30,45,59,81,170,248,340,429,630,2136
2007,"Endocrine, nutritional, and metabolic diseases",24,68,20,29,41,41,129,245,367,513,834,1003,2074,2896,3917,5093,9083,26377
2007,Diabetes mellitus,0,2,5,4,16,17,61,123,231,351,575,749,1663,2486,3410,4462,7716,21871
2007,Mental and behavioral disorders,1,8,19,66,127,158,285,498,736,799,743,665,904,851,1245,2116,6239,15460
2007,Mental and behavioral disorders durch Alkohol,0,0,1,5,16,50,153,372,614,699,676,561,686,418,239,114,98,4702
2007,Mental and behavioral disorders due to psychoactive substance use,0,1,11,59,105,100,121,101,90,53,24,21,6,8,6,6,4,716
2007,Diseases of the nervous system and sense organs,52,135,64,89,100,87,179,267,458,518,649,787,1508,2007,3034,3628,4721,18283
2007,Meningitis,6,7,0,1,3,1,3,6,8,12,12,8,17,20,27,36,20,187
2007,Diseases of the circulatory system,35,93,100,160,221,340,825,1868,3582,5439,7780,10571,22128,32431,50153,71501,151457,358684
2007,Hypertension (high blood pressure),1,2,2,0,4,6,22,86,143,260,373,551,1218,1938,3363,5843,16475,30287
2007,Ischemic heart diseases,0,0,13,27,43,88,281,764,1628,2594,3887,5102,10535,14924,21334,27487,51681,140388
2007,Acute or recurrent myocardial infarction,0,0,8,19,33,64,223,573,1230,1855,2618,3160,6098,7871,10154,11532,16629,62067
2007,Other forms of heart disease,19,61,47,64,75,108,214,392,756,1096,1448,1932,3888,5654,9493,15489,40608,81344
2007,Other diseases of the endocardium,4,7,4,7,13,8,21,43,59,88,137,231,496,840,1505,2192,3482,9137
2007,Cerebrovascular diseases,5,18,12,28,46,66,139,336,577,770,1004,1471,3353,5587,9267,13583,25823,62085
2007,"Stroke, not specified as hemorrhage or infarction",0,2,2,2,2,5,8,31,49,100,209,389,1031,2058,3765,6144,13114,26911
2007,"Diseases of arteries, arterioles, and capillaries",1,1,7,6,7,20,48,84,150,238,395,620,1315,1823,2810,3865,9186,20576
2007,Diseases of the respiratory system,25,53,31,33,40,55,107,206,420,741,1295,2248,4500,6537,9698,11863,20104,57956
2007,Influenza,1,1,0,0,1,2,3,0,3,2,4,1,2,5,9,19,46,99
2007,Pneumonia,13,21,11,15,16,22,39,60,141,196,286,490,1113,1771,3082,4576,9932,21784
2007,Chronic diseases of the lower respiratory tract,3,17,6,7,11,15,32,87,177,398,773,1402,2609,3598,5001,5190,6466,25792
2007,Asthma,0,9,5,4,9,11,19,28,52,67,83,133,154,182,230,241,336,1563
2007,"COVID-19, virus identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"COVID-19, virus not identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Diseases of the digestive system,11,25,14,28,66,116,399,964,1713,2303,2683,2717,4398,4601,5450,6346,10329,42163
2007,"Ulcer of the stomach, duodenum, peptic, peptic jejuni",1,0,1,2,4,6,7,24,47,81,99,137,230,321,482,643,1178,3263
2007,Diseases of the liver,2,3,1,8,33,66,281,737,1312,1750,1955,1775,2520,1984,1384,927,744,15482
2007,"Alcoholic liver disease, chronic hepatitis, liver fibrosis, and cirrhosis",0,0,0,6,29,63,275,716,1278,1689,1874,1693,2392,1836,1242,790,587,14470
2007,Diseases of the skin and subcutaneous tissue,0,1,0,3,2,3,6,4,7,14,17,21,68,72,125,160,317,820
2007,Diseases of the musculoskeletal system and connective tissue,1,5,2,6,9,4,14,22,31,67,81,109,210,255,377,441,555,2189
2007,Chronic polyarthritis and arthrosis,0,0,0,0,0,1,0,0,3,11,15,22,53,66,112,137,159,579
2007,Diseases of the genitourinary system,1,6,4,1,8,10,19,54,105,138,270,337,959,1567,2553,3787,6805,16624
2007,Diseases of the kidney,0,6,3,1,7,7,15,38,87,105,222,280,784,1254,1990,2934,5249,12982
2007,"Pregnancy, childbirth, and the puerperium",0,0,0,3,6,8,9,2,0,0,0,0,0,0,0,0,0,28
2007,Certain conditions originating in the perinatal period,1387,21,3,7,5,3,8,8,5,3,0,2,2,3,3,2,2,1464
2007,"Congenital malformations, deformations, and chromosomal abnormalities",686,157,36,36,43,25,45,35,40,58,94,63,38,22,19,20,34,1451
2007,Congenital malformations of the nervous system,45,36,9,6,9,4,3,2,2,1,5,1,1,0,1,0,1,126
2007,Congenital malformations of the circulatory system,220,49,13,11,14,10,20,10,6,8,14,6,7,10,10,17,23,448
2007,Symptoms and abnormal clinical and laboratory findings,304,71,54,104,112,177,312,646,989,1228,1334,1390,2060,1974,2044,2400,6492,21691
2007,Sudden infant death syndrome,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
2007,Other ill-defined and unknown causes of mortality,75,64,52,100,111,170,301,626,959,1188,1282,1316,1925,1766,1666,1598,1996,15195
2007,External causes of morbidity and mortality,63,318,893,1213,1081,978,1320,1842,2073,1838,1712,1453,2280,2232,2634,3127,5593,30650
2007,Accidents including late effects,31,250,620,757,569,464,571,749,941,752,790,700,1189,1308,1757,2367,4693,18508
2007,Transport accidents,3,122,544,618,392,279,314,386,431,293,291,203,322,272,285,254,161,5170
2007,Falls,1,26,12,27,35,24,53,100,171,178,228,253,450,593,912,1428,3237,7728
2007,Drowning and submersion,1,40,15,11,9,5,13,12,27,37,28,26,39,28,21,16,23,351
2007,"Exposure to smoke, fire, and flames",2,13,5,11,5,8,19,22,28,25,20,24,25,33,32,29,45,346
2007,Accidental poisoning: harmful substances (incl. exposure),1,1,15,43,82,94,93,95,94,47,39,22,27,21,25,19,27,745
2007,Intentional self-harm,0,24,196,362,398,401,580,883,928,886,751,609,897,751,700,514,522,9402
2007,Assault,25,33,21,28,33,37,39,46,38,27,22,32,25,13,14,10,8,451
2007,"Event of undetermined intent",7,11,55,64,80,73,123,159,163,167,136,104,159,151,156,222,361,2191
2007,Insgesamt,2656,1291,1415,2030,2196,2576,4961,9848,16523,23453,31930,39948,74113,90562,119360,146002,258291,827155
2008,Certain infectious and parasitic diseases,40,45,19,26,50,73,139,224,326,422,484,581,1089,1680,2338,2864,4237,14637
2008,Tuberculosis and its sequelae,0,0,1,1,2,1,6,9,11,20,13,16,27,39,69,80,68,363
2008,Meningococcal infection,6,9,7,1,1,2,1,1,3,3,2,3,2,2,1,1,1,46
2008,Viral hepatitis,0,0,1,0,4,14,23,43,63,70,69,65,93,104,152,146,105,952
2008,HIV disease,1,1,0,1,16,25,53,72,98,72,31,23,22,16,6,4,2,443
2008,Neoplasms,26,267,150,208,269,477,1156,2753,5726,9310,14380,18044,31218,35793,35330,33282,33531,221920
2008,Malignant neoplasms,17,248,147,202,261,465,1131,2710,5676,9231,14228,17816,30742,35156,34371,32023,31586,216010
2008,"Neoplasms of the lip, oral cavity, and pharynx",0,2,0,2,3,7,26,140,351,548,769,721,797,635,387,264,294,4946
2008,Neoplasms of the esophagus,0,0,0,0,2,3,21,61,178,349,512,616,906,795,572,438,337,4790
2008,Neoplasms of the stomach,1,0,1,3,12,37,84,166,301,447,611,692,1198,1656,1707,1674,1920,10510
2008,Neoplasms of the colon,1,1,2,3,11,25,45,128,226,413,774,1073,2083,2766,3075,3319,3975,17920
2008,"Neoplasms of the rectum, anus, and rectosigmoid junction",0,0,0,1,3,3,33,67,171,315,499,663,1173,1385,1355,1179,1392,8239
2008,"Neoplasms of the liver, biliary tract, and pancreas",1,8,3,2,6,18,67,173,471,856,1507,2080,3725,4536,4266,3919,3504,25142
2008,Neoplasms of the liver and intrahepatic bile ducts,1,4,2,1,2,11,29,35,109,254,463,625,1118,1386,1187,1065,770,7062
2008,Neoplasms of the pancreas,0,4,1,0,2,6,32,122,326,532,904,1237,2226,2585,2518,2247,2093,14835
2008,"Neoplasms of the larynx, trachea, bronchi, and lung",2,3,3,6,13,31,114,440,1278,2511,3884,4866,7797,7858,7029,4935,3060,43830
2008,Neoplasms of the bronchi and lung,2,3,3,5,13,29,110,429,1223,2403,3695,4671,7512,7621,6840,4804,2956,42319
2008,Melanoma and other malignant neoplasms of the skin,0,1,3,8,17,23,58,110,132,166,202,213,368,420,379,409,559,3068
2008,Malignant melanoma of the skin,0,0,2,7,15,22,56,102,125,155,185,188,322,360,322,311,328,2500
2008,Neoplasms of the breast,0,0,0,1,14,54,207,414,751,999,1354,1538,2377,2380,2071,2281,2904,17345
2008,Neoplasms of the genital and urinary organs,0,8,4,19,32,56,116,312,628,996,1613,2168,4467,5755,6460,6654,6855,36143
2008,Neoplasms of the cervix uteri,0,0,0,0,6,19,47,110,167,153,153,126,167,178,139,153,178,1596
